имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Сергей,Кузнецов,2010,Чолпон-Ата,нет места работы,0,Бакалавр,нету
Mehmet,Титов,1995,Стамбул,Ферма,46374,Среднее специальное,нету
Елена,Эргешов,1956,Ош,Салон Красоты,68297,Бакалавр,нету
Fatima,Зайцев,1994,Екатеринбург,Университет,55087,Магистр,есть
Айгерим,Нурматов,1942,Токтогул,Медцентр,38515,Неполное высшее,нету
Алиса,Исаев,1961,Жалал-Абад,Университет,67811,Бакалавр,нету
Дмитрий,Smith,1994,Сеул,Салон Красоты,50063,Среднее специальное,нету
Lucas,Сергеев,1947,Париж,Медцентр,64787,Бакалавр,нету
Бегимай,Бектуров,1945,Кант,Ресторан,41378,Среднее,нету
Wei,Мамытов,1980,Берлин,Медцентр,32568,Среднее,нету
Carlos,Курманалиев,2006,Токтогул,Нет места работы,40356,Бакалавр,есть
Carlos,Сергеев,1996,Баку,Компания А,39645,Среднее,нету
David,Жолдошев,1999,Берлин,Банк,35898,Среднее,нету
Liu,Зайцев,1980,Пекин,ООО Строй,36480,Неполное высшее,нету
Айнура,Егоров,1942,Ереван,Global Tech,67426,Бакалавр,нету
Дарья,Гусев,1946,Париж,Нет места работы,35054,Среднее,нету
Светлана,Попов,1986,Казань,Нет места работы,36435,Неполное высшее,нету
Айбек,Лебедев,1983,Баку,ТранспортСервис,63343,Магистр,нету
Ahmed,Мамытов,1971,Стамбул,Нет места работы,75601,Бакалавр,нету
Азамат,Жолдошев,1957,Стамбул,ТранспортСервис,58165,Бакалавр,нету
Екатерина,Сергеев,2007,Чолпон-Ата,GreenFarm,42341,Среднее,нету
Noah,Токтосунов,1974,Мехико,GreenFarm,34972,Среднее,нету
Hassan,Harris,1977,Каракол,Салон Красоты,48604,Среднее специальное,нету
Алексей,Шаршеев,1981,Пекин,IT Studio,48516,Бакалавр,есть
Hiroshi,Калмурзаев,1976,Нарын,Банк,75623,Магистр,нету
Егор,Петров,1983,Нью-Йорк,Банк,64083,Магистр,нету
Hassan,Бектуров,1988,Талас,Ресторан,39271,Неполное высшее,нету
Сезим,Абдыкадыров,1968,Мадрид,Нет места работы,74299,Бакалавр,нету
Азамат,Титов,1965,Москва,Ресторан,71559,Бакалавр,нету
Иван,Harris,1986,Пекин,IT Studio,120789,Доктор,нету
Бакыт,Абдыкадыров,1996,Чолпон-Ата,Global Tech,36531,Неполное высшее,нету
Элина,Федоров,1987,Стамбул,Ресторан,38110,Среднее специальное,нету
William,Сатыбалдиев,1993,Берлин,IT Studio,36264,Среднее специальное,нету
Валерия,Исаев,1989,Санкт-Петербург,ИП Сидоров,34334,Неполное высшее,нету
Lucas,Brown,1998,Тбилиси,Банк,40792,Среднее специальное,нету
Noah,Brown,1959,Кызыл-Кыя,Банк,41381,Неполное высшее,нету
Асель,Соколов,1984,Новосибирск,IT Studio,36521,Среднее,нету
Азамат,Новиков,2003,Нью-Йорк,АО Техно,35281,Неполное высшее,нету
Ahmed,Li,1994,Алматы,IT Studio,48690,Среднее специальное,нету
Нурия,Смирнов,1966,Москва,ГК Ромашка,73380,Магистр,нету
Каныкей,Карабаев,2009,Лондон,нет места работы,0,Магистр,нету
Павел,Smith,1953,Астана,Нет места работы,71891,Магистр,нету
Wei,Эргешов,1997,Мадрид,Ферма,50478,Среднее специальное,нету
Алиса,Воробьев,1976,Каракол,Нет места работы,37702,Среднее специальное,нету
Юлия,Васильев,1998,Кызыл-Кыя,Салон Красоты,43133,Среднее специальное,нету
Софья,Козлов,1988,Мехико,Банк,63688,Бакалавр,нету
Mehmet,Беляев,1964,Новосибирск,Фабрика,43824,Среднее специальное,нету
David,Brown,1985,Париж,ГК Ромашка,73049,Магистр,нету
Сергей,Беляев,1960,Казань,Медцентр,41833,Среднее,нету
Айбек,Rahman,1972,Пекин,Фабрика,78164,Магистр,нету
Екатерина,Harris,1995,Кант,IT Studio,49595,Среднее специальное,нету
Максим,Кузнецов,1983,Мехико,MegaCorp,57530,Бакалавр,нету
Wei,Сидоров,2002,Бишкек,Ресторан,45490,Неполное высшее,нету
Ali,Петров,1983,Чолпон-Ата,АО Техно,76386,Магистр,нету
Нурия,Васильев,2008,Чолпон-Ата,нет места работы,0,Среднее специальное,нету
Элина,Козлов,1990,Тбилиси,MegaCorp,52145,Среднее специальное,нету
Каныкей,Taylor,1951,Нарын,GreenFarm,36477,Среднее,нету
Чыңгыз,Wang,1989,Чолпон-Ата,Нет места работы,57878,Бакалавр,нету
Азамат,Нурматов,1952,Мехико,ГК Ромашка,39444,Среднее специальное,нету
Алексей,Smith,1965,Москва,Салон Красоты,34846,Неполное высшее,нету
Иван,Токтосунов,2005,Токио,Нет места работы,42222,Среднее,нету
Ali,Курманалиев,2006,Париж,Фабрика,70588,Бакалавр,нету
Андрей,Воробьев,1978,Стамбул,Ферма,64674,Бакалавр,нету
Юлия,Harris,1969,Москва,Фабрика,59774,Бакалавр,нету
Carlos,Сидоров,1983,Сеул,АО Техно,74947,Бакалавр,нету
Гульзат,Романов,1990,Нарын,Университет,67142,Бакалавр,нету
Кирилл,Токтосунов,1987,Нью-Йорк,АО Техно,60310,Бакалавр,нету
Татьяна,Kim,1950,Новосибирск,ООО Строй,42707,Среднее,нету
Aisha,Исаев,1965,Стамбул,ТранспортСервис,72454,Магистр,нету
Нурлан,Smith,1982,Екатеринбург,ГК Ромашка,34890,Среднее,нету
Николай,Исаев,1974,Чолпон-Ата,Банк,33069,Среднее,нету
Гульзат,Johnson,1963,Токтогул,ТранспортСервис,88625,Магистр,нету
Екатерина,Киселев,1942,Мадрид,ИП Сидоров,95199,Доктор,нету
Hiroshi,Anderson,1940,Казань,Медцентр,49394,Среднее специальное,нету
Liu,White,1944,Каракол,Компания А,122063,Доктор,нету
Софья,Гусев,1946,Алматы,Нет места работы,36536,Среднее специальное,нету
Lucas,Абдыкадыров,1945,Баку,Компания А,75490,Бакалавр,нету
Ксения,Шаршеев,1986,Лондон,ГК Ромашка,88096,Магистр,нету
Каныкей,Anderson,1966,Кызыл-Кыя,Школа №1,48756,Среднее специальное,нету
Ольга,Исаев,1960,Чолпон-Ата,Ресторан,37274,Среднее,нету
William,Gonzalez,1976,Екатеринбург,Салон Красоты,42820,Неполное высшее,нету
Михаил,Орлов,1983,Бишкек,АО Техно,39761,Неполное высшее,нету
Hassan,Ниязов,2007,Нью-Йорк,MegaCorp,34902,Среднее,нету
Анна,Морозов,1995,Астана,ИП Сидоров,71348,Бакалавр,нету
Айгерим,Исаев,1988,Алматы,Фабрика,60990,Бакалавр,нету
Ali,Anderson,1991,Астана,Нет места работы,33177,Среднее,нету
Иван,Абдрахманов,2004,Екатеринбург,Фабрика,57238,Бакалавр,нету
Мээрим,Сидоров,2007,Астана,IT Studio,68708,Магистр,нету
Мээрим,Молдокулов,1972,Талас,Нет места работы,66865,Бакалавр,нету
Виктор,Зайцев,1946,Тбилиси,Нет места работы,45678,Неполное высшее,нету
Aisha,Курманалиев,2005,Тбилиси,Салон Красоты,32544,Среднее специальное,есть
Hiroshi,Кузнецов,1999,Санкт-Петербург,ООО Строй,67616,Бакалавр,нету
Juan,Сатыбалдиев,1988,Екатеринбург,Школа №1,72524,Бакалавр,нету
Айбек,Сергеев,2001,Ош,Компания А,58682,Бакалавр,нету
Yuki,Rahman,1978,Лондон,Global Tech,39383,Среднее,нету
Иван,Сатыбалдиев,1967,Мехико,ИП Сидоров,87969,Магистр,нету
Элина,Lopez,2004,Ош,Университет,43722,Неполное высшее,нету
Juan,Козлов,1984,Лондон,Медцентр,65822,Бакалавр,нету
Сезим,Nguyen,1963,Кант,Нет места работы,62481,Бакалавр,нету
Гульзат,Ali,1962,Токтогул,АО Техно,60015,Бакалавр,нету
Ali,Абдыкадыров,2006,Казань,ИП Сидоров,76874,Магистр,нету
Улан,Соколов,1989,Москва,Нет места работы,47597,Бакалавр,есть
Sophia,Карабаев,1955,Бишкек,Салон Красоты,47697,Неполное высшее,нету
Улан,Anderson,1967,Мехико,Нет места работы,76675,Магистр,нету
James,Ниязов,1969,Москва,Ферма,43265,Среднее специальное,нету
Сергей,Кудрявцев,1958,Сеул,Фабрика,34780,Среднее,нету
William,Соколов,1985,Мадрид,IT Studio,47612,Неполное высшее,нету
Анна,Chen,1984,Нарын,Банк,63275,Бакалавр,нету
James,Ершов,2008,Тбилиси,нет места работы,0,Бакалавр,нету
Liu,Ершов,1968,Алматы,Банк,33014,Среднее,нету
Liu,Сидоров,1975,Екатеринбург,Банк,54729,Бакалавр,нету
Артур,Martinez,1980,Баку,Медцентр,59951,Бакалавр,нету
Элина,White,1948,Астана,Университет,43520,Среднее специальное,нету
Ирина,Абдыкадыров,1965,Токтогул,АО Техно,66021,Бакалавр,нету
Michael,Ершов,1999,Астана,Global Tech,69741,Бакалавр,нету
Егор,Hernandez,1961,Баку,Фабрика,34035,Неполное высшее,нету
Елена,Thomas,1945,Берлин,MegaCorp,51252,Среднее специальное,нету
Carlos,Hernandez,1999,Жалал-Абад,АО Техно,72270,Бакалавр,нету
Liu,Султанов,2010,Жалал-Абад,нет места работы,0,Среднее,нету
Алексей,Жолдошев,1986,Лондон,Ресторан,48038,Неполное высшее,нету
Мээрим,Thomas,1997,Москва,Global Tech,34657,Неполное высшее,нету
Мээрим,Соловьев,1956,Берлин,Ферма,45154,Неполное высшее,нету
Алиса,Martinez,1966,Чолпон-Ата,АО Техно,76031,Магистр,нету
Айнура,Карабаев,1976,Баку,Школа №1,42760,Бакалавр,есть
Татьяна,Martin,1969,Санкт-Петербург,ИП Сидоров,59264,Бакалавр,нету
Hassan,Anderson,1972,Париж,GreenFarm,48339,Неполное высшее,нету
Ольга,Воробьев,1941,Токио,Университет,87408,Доктор,нету
Ирина,Ali,1946,Казань,ТранспортСервис,32373,Среднее,нету
Егор,Романов,1959,Санкт-Петербург,Салон Красоты,49597,Среднее специальное,нету
Светлана,Смирнов,1994,Новосибирск,Салон Красоты,83564,Магистр,нету
Андрей,Титов,1996,Ош,Нет места работы,33287,Среднее специальное,есть
Сезим,Сатыбалдиев,2001,Стамбул,Global Tech,124964,Доктор,нету
Елена,Ниязов,1997,Баку,ГК Ромашка,40946,Неполное высшее,нету
Максим,Singh,1984,Сеул,ИП Сидоров,81704,Магистр,нету
Ahmed,Chen,1950,Астана,Global Tech,70085,Бакалавр,нету
Каныкей,Patel,1955,Астана,Ферма,62927,Бакалавр,нету
Жаныбек,Козлов,2004,Лондон,ТранспортСервис,50581,Среднее специальное,нету
Виктор,Павлов,1941,Ош,ИП Сидоров,83745,Магистр,нету
Азамат,Попов,1995,Лондон,GreenFarm,34063,Неполное высшее,нету
Павел,Титов,1996,Мехико,ИП Сидоров,43377,Среднее,нету
Айнура,Anderson,1966,Тбилиси,IT Studio,32673,Среднее,нету
Ahmed,Gonzalez,1964,Екатеринбург,ГК Ромашка,115687,Доктор,нету
Улан,Garcia,1940,Нарын,Нет места работы,101331,Доктор,нету
Robert,Беляев,1956,Казань,Медцентр,36918,Среднее специальное,нету
Анна,Сафонов,1977,Каракол,Нет места работы,73637,Магистр,нету
Сергей,Ершов,2004,Казань,MegaCorp,87021,Доктор,нету
Ирина,Smith,2006,Баку,ТранспортСервис,48040,Неполное высшее,нету
Станислав,Anderson,1971,Алматы,Global Tech,85838,Магистр,нету
Yuki,Ершов,1978,Москва,Нет места работы,64561,Бакалавр,нету
Валерия,Соловьев,1955,Токио,Global Tech,38707,Среднее специальное,нету
Ксения,Сергеев,1998,Москва,Нет места работы,34238,Неполное высшее,нету
Асель,Бектуров,1976,Бишкек,Компания А,60144,Бакалавр,нету
Станислав,Токтосунов,1954,Мехико,Нет места работы,33996,Неполное высшее,нету
Владимир,Жолдошев,1955,Кант,ГК Ромашка,42136,Бакалавр,есть
Juan,Harris,2005,Тбилиси,Ресторан,51551,Среднее специальное,нету
Алексей,Шаршеев,1980,Стамбул,Медцентр,106450,Доктор,нету
Сезим,Сафонов,1999,Чолпон-Ата,GreenFarm,50851,Среднее специальное,нету
Алиса,White,1958,Кант,ГК Ромашка,36031,Неполное высшее,нету
Владимир,Калмурзаев,1980,Мехико,ООО Строй,36128,Среднее,нету
Владимир,Попов,1947,Тбилиси,Global Tech,35522,Среднее,нету
Айгерим,Лебедев,1957,Ереван,ТранспортСервис,27324,Среднее специальное,есть
Ahmed,Сидоров,1995,Берлин,Нет места работы,25648,Неполное высшее,есть
Lucas,Smith,2003,Баку,Нет места работы,72002,Магистр,нету
Елена,Курманалиев,1990,Нарын,ООО Строй,31797,Среднее,нету
Дмитрий,Токтосунов,1978,Стамбул,Нет места работы,36678,Среднее специальное,нету
Гульзат,Павлов,1982,Тбилиси,ООО Строй,31143,Неполное высшее,есть
James,Беляев,1999,Бишкек,АО Техно,43629,Магистр,есть
Анна,Martinez,1953,Мехико,MegaCorp,73123,Бакалавр,нету
Fatima,Rodriguez,1973,Бишкек,GreenFarm,62318,Бакалавр,нету
Валерия,Морозов,1955,Санкт-Петербург,ИП Сидоров,61823,Бакалавр,нету
Валерия,Исаев,2007,Каракол,Университет,52426,Среднее специальное,нету
Михаил,Harris,1972,Сеул,MegaCorp,41369,Среднее,нету
Juan,Martinez,1985,Алматы,MegaCorp,74289,Магистр,нету
Станислав,Титов,1946,Берлин,Нет места работы,50086,Среднее специальное,нету
Robert,Зайцев,1988,Москва,Ферма,85091,Магистр,нету
Николай,Егоров,1960,Талас,Салон Красоты,39463,Среднее,нету
Omar,Киселев,2004,Кызыл-Кыя,ИП Сидоров,48301,Среднее специальное,нету
Сергей,Сергеев,2004,Париж,Ферма,69127,Бакалавр,нету
Liu,Иванов,1962,Новосибирск,Медцентр,46578,Неполное высшее,нету
Isabella,Лебедев,1969,Нарын,Салон Красоты,38424,Неполное высшее,нету
Yuki,Соколов,1996,Екатеринбург,ТранспортСервис,36865,Среднее,нету
Алиса,Anderson,1969,Новосибирск,Нет места работы,47743,Среднее специальное,нету
Светлана,Асанов,1957,Новосибирск,ГК Ромашка,27778,Среднее,есть
Нурлан,Сидоров,2001,Чолпон-Ата,АО Техно,51876,Среднее специальное,нету
Максим,Ершов,1961,Нарын,Салон Красоты,35187,Среднее,нету
Елена,Зайцев,1947,Нарын,Банк,43116,Среднее,нету
Андрей,Молдокулов,1946,Ош,Университет,54434,Бакалавр,нету
Hassan,Кузнецов,2005,Токио,ИП Сидоров,50227,Среднее специальное,нету
Гульзат,Сидоров,1978,Токтогул,АО Техно,42139,Среднее,нету
Наталья,Воробьев,2004,Екатеринбург,Нет места работы,64257,Бакалавр,нету
John,Martin,1945,Чолпон-Ата,Школа №1,62255,Бакалавр,нету
Анна,Бектуров,1970,Алматы,АО Техно,69002,Магистр,нету
Наталья,Жолдошев,1955,Кант,ГК Ромашка,49388,Среднее специальное,нету
Асель,Brown,1948,Ош,IT Studio,64698,Бакалавр,нету
Эрмек,Ниязов,1948,Пекин,Салон Красоты,40801,Среднее,нету
Айнура,Garcia,1947,Санкт-Петербург,IT Studio,36983,Среднее,нету
Иван,Ali,1948,Мадрид,Ферма,51611,Среднее специальное,нету
Нурзат,Нурматов,1944,Лондон,Компания А,75616,Магистр,нету
Максим,Зайцев,2009,Санкт-Петербург,нет места работы,0,Среднее специальное,нету
Ahmed,Соколов,2000,Бишкек,Салон Красоты,51452,Среднее специальное,нету
Fatima,Морозов,1947,Сеул,IT Studio,66032,Магистр,нету
Николай,Исаев,1942,Алматы,MegaCorp,39606,Неполное высшее,нету
Юлия,Gonzalez,1948,Москва,Школа №1,69110,Бакалавр,нету
Isabella,Абдыкадыров,1954,Мехико,Global Tech,70202,Магистр,нету
Бакыт,Martin,1981,Москва,ГК Ромашка,33884,Среднее,нету
Айгерим,Абдрахманов,1973,Кант,Банк,43053,Среднее специальное,нету
Валерия,Молдокулов,1952,Тбилиси,ООО Строй,107994,Доктор,нету
Софья,Титов,1975,Мехико,ИП Сидоров,59342,Бакалавр,нету
Мээрим,Сергеев,1960,Екатеринбург,Ферма,42298,Среднее специальное,нету
Robert,Гусев,1990,Бишкек,Нет места работы,37339,Среднее,нету
Егор,Chen,2000,Берлин,GreenFarm,55622,Бакалавр,нету
Эрмек,Козлов,1947,Мехико,Компания А,65057,Бакалавр,нету
Андрей,Лебедев,1940,Сеул,GreenFarm,52940,Среднее специальное,нету
Жаныбек,Brown,1989,Берлин,Школа №1,43091,Среднее специальное,нету
Emma,Кузнецов,1963,Пекин,Global Tech,44865,Среднее специальное,нету
Aisha,Орлов,1998,Лондон,Фабрика,47383,Бакалавр,есть
Noah,Кузнецов,1962,Кант,ГК Ромашка,75323,Магистр,нету
Татьяна,Титов,2003,Тбилиси,Нет места работы,72139,Бакалавр,нету
Нурия,Кудрявцев,1964,Стамбул,ГК Ромашка,42263,Среднее,нету
Yuki,Anderson,1976,Екатеринбург,Компания А,30860,Среднее,нету
Дарья,Соколов,1971,Стамбул,IT Studio,48061,Среднее специальное,нету
Omar,Гусев,1984,Мехико,ГК Ромашка,28102,Среднее специальное,есть
Сергей,Петров,2001,Кант,Салон Красоты,64661,Бакалавр,нету
Павел,Соколов,1958,Ош,Компания А,41683,Среднее,нету
Michael,Киселев,1946,Алматы,Нет места работы,65502,Бакалавр,нету
Mehmet,Султанов,1999,Токтогул,Университет,55015,Бакалавр,нету
Дмитрий,Кузнецов,1995,Сеул,Global Tech,62485,Бакалавр,нету
Noah,Курманалиев,1958,Сеул,ГК Ромашка,64238,Магистр,нету
Isabella,Соколов,2003,Астана,Университет,31217,Среднее,нету
Павел,Орлов,1992,Новосибирск,Global Tech,75330,Бакалавр,нету
Ольга,Wang,2005,Мадрид,Ресторан,75339,Бакалавр,нету
James,Новиков,1997,Нарын,Университет,35102,Среднее,нету
Бакыт,Ali,1965,Ереван,Банк,42094,Среднее,нету
James,Нурматов,1947,Токио,Фабрика,41236,Среднее специальное,нету
Улан,Козлов,1963,Мадрид,Компания А,46097,Среднее специальное,нету
Ольга,Козлов,2005,Екатеринбург,Ресторан,48373,Среднее специальное,нету
Нурлан,Султанов,2002,Тбилиси,ИП Сидоров,37871,Среднее,нету
Wei,Орлов,1960,Ош,Ресторан,34885,Среднее,нету
Азамат,Сафонов,1996,Бишкек,GreenFarm,32750,Среднее,нету
Aisha,Михайлов,1957,Кант,ООО Строй,59134,Бакалавр,нету
Hiroshi,Lopez,2000,Лондон,Школа №1,45217,Бакалавр,есть
Hiroshi,Anderson,1956,Кант,Компания А,31939,Среднее специальное,есть
Марина,Chen,1957,Стамбул,ГК Ромашка,47763,Среднее специальное,нету
Michael,Wang,1973,Новосибирск,Салон Красоты,42241,Среднее специальное,нету
Айбек,Смирнов,1976,Талас,АО Техно,56820,Бакалавр,нету
Maria,Нурматов,1997,Чолпон-Ата,ИП Сидоров,38738,Среднее специальное,нету
Ольга,Беляев,1978,Ереван,IT Studio,53415,Бакалавр,нету
Чыңгыз,Garcia,1957,Токтогул,ИП Сидоров,57610,Бакалавр,нету
Нурзат,Wang,1970,Токио,Нет места работы,70721,Бакалавр,нету
Hassan,Беляев,1997,Новосибирск,Нет места работы,49765,Среднее специальное,нету
Ольга,Морозов,1967,Санкт-Петербург,Салон Красоты,36076,Среднее,нету
Данияр,Бектуров,1958,Алматы,IT Studio,63506,Бакалавр,нету
Кирилл,Токтосунов,1982,Екатеринбург,ТранспортСервис,34066,Среднее,нету
David,Chen,1972,Алматы,Фабрика,31190,Среднее,нету
Виктор,Chen,1951,Алматы,GreenFarm,46037,Среднее специальное,нету
Данияр,Нурматов,1979,Талас,Ферма,74427,Бакалавр,нету
Виктор,Нурматов,2003,Ош,ТранспортСервис,88912,Магистр,нету
Жаныбек,Garcia,1954,Талас,ИП Сидоров,35652,Среднее,нету
Михаил,Li,1945,Казань,Нет места работы,67105,Бакалавр,нету
John,Rodriguez,1980,Чолпон-Ата,ООО Строй,38419,Среднее,нету
Juan,Rodriguez,1983,Ереван,ГК Ромашка,65774,Бакалавр,нету
Айгерим,Nguyen,1963,Кант,ГК Ромашка,37164,Среднее специальное,нету
Yuki,Kim,1940,Пекин,Школа №1,40112,Неполное высшее,нету
William,Соловьев,2009,Токио,нет места работы,0,Неполное высшее,нету
Эрмек,Nguyen,1949,Бишкек,Школа №1,74189,Бакалавр,нету
Maria,Воробьев,1949,Баку,ИП Сидоров,42809,Среднее специальное,нету
Айгерим,Попов,1983,Жалал-Абад,Школа №1,48840,Среднее специальное,нету
Ahmed,Молдокулов,1961,Пекин,Нет места работы,40610,Неполное высшее,нету
Каныкей,Кузнецов,1977,Тбилиси,IT Studio,53873,Бакалавр,нету
Ahmed,Martinez,1943,Нарын,Global Tech,75297,Магистр,нету
Татьяна,Li,1970,Пекин,ООО Строй,63794,Бакалавр,нету
Ирина,Соколов,2010,Алматы,нет места работы,0,Неполное высшее,нету
Михаил,Козлов,2003,Кант,Фабрика,36795,Неполное высшее,нету
Ксения,Martinez,1989,Ош,Ресторан,105542,Доктор,нету
Татьяна,Шаршеев,1975,Мадрид,Медцентр,32444,Среднее,нету
William,Бектуров,2001,Каракол,IT Studio,48692,Среднее специальное,нету
Владимир,Калмурзаев,1945,Стамбул,Медцентр,65383,Магистр,нету
Sophia,Кадыров,1988,Токтогул,ТранспортСервис,44980,Среднее специальное,нету
Айгерим,Нурматов,1949,Пекин,Global Tech,32360,Среднее специальное,есть
Ольга,Nguyen,1950,Париж,IT Studio,69363,Бакалавр,нету
Юлия,Шаршеев,1954,Токио,ТранспортСервис,84369,Магистр,нету
Mehmet,Эргешов,1960,Каракол,ООО Строй,46014,Среднее специальное,нету
Бакыт,Patel,1944,Пекин,ООО Строй,36002,Среднее,нету
Maria,Li,1987,Пекин,IT Studio,34248,Среднее,нету
Айгерим,Ершов,1999,Мехико,Банк,45930,Неполное высшее,нету
Дарья,Мамытов,2008,Чолпон-Ата,нет места работы,0,Неполное высшее,нету
Чыңгыз,Эргешов,1997,Лондон,MegaCorp,59862,Бакалавр,нету
Софья,Орлов,1949,Токтогул,ГК Ромашка,65243,Магистр,нету
James,Мамытов,1984,Казань,ТранспортСервис,71978,Бакалавр,нету
Николай,Байгазиев,2001,Токтогул,ИП Сидоров,79819,Магистр,нету
Ксения,Сафонов,1968,Кызыл-Кыя,ТранспортСервис,41743,Среднее специальное,нету
Ирина,Егоров,1982,Стамбул,ООО Строй,69294,Бакалавр,нету
Ольга,Морозов,1969,Екатеринбург,Нет места работы,39618,Среднее,нету
Елена,Романов,1944,Нарын,MegaCorp,126842,Доктор,нету
Елена,Thomas,1945,Токио,MegaCorp,47829,Среднее специальное,нету
Robert,Taylor,1969,Бишкек,Салон Красоты,46403,Бакалавр,есть
Carlos,Chen,1992,Токио,Университет,38382,Неполное высшее,нету
William,Singh,1952,Тбилиси,ИП Сидоров,31437,Среднее,нету
Дмитрий,Романов,2007,Жалал-Абад,Компания А,51945,Бакалавр,нету
Emma,Исаев,1958,Мехико,Ресторан,46318,Среднее специальное,нету
Hassan,Smith,1964,Сеул,ИП Сидоров,72088,Бакалавр,нету
Иван,Smith,1981,Стамбул,Ресторан,43196,Среднее,нету
Максим,Зайцев,1988,Казань,ИП Сидоров,38794,Неполное высшее,нету
Элина,Токтосунов,1972,Мехико,Ферма,46576,Среднее специальное,нету
Сезим,Garcia,1959,Новосибирск,Нет места работы,39712,Бакалавр,есть
Алексей,Орлов,1963,Талас,Global Tech,49127,Среднее специальное,нету
Hiroshi,Карабаев,1964,Мехико,Университет,57552,Бакалавр,нету
Дмитрий,Сатыбалдиев,1967,Баку,ГК Ромашка,48962,Среднее специальное,нету
Иван,Карабаев,1974,Талас,Салон Красоты,38144,Среднее специальное,нету
Николай,Соколов,1942,Берлин,MegaCorp,111629,Доктор,нету
Дарья,Li,1961,Нарын,АО Техно,31593,Среднее,нету
Каныкей,Зайцев,1940,Мехико,Нет места работы,32414,Среднее специальное,есть
Айнура,Hernandez,2001,Берлин,АО Техно,38477,Среднее,нету
Aisha,Johnson,1994,Берлин,Нет места работы,78416,Магистр,нету
Айгерим,Кадыров,1965,Нарын,Фабрика,54989,Бакалавр,нету
Валерия,Абдыкадыров,1981,Нью-Йорк,Нет места работы,83363,Магистр,нету
Виктор,Молдокулов,1941,Алматы,Медцентр,89122,Магистр,нету
Aisha,Эргешов,1945,Тбилиси,Фабрика,64095,Бакалавр,нету
Ольга,Lopez,1976,Нью-Йорк,Школа №1,70990,Бакалавр,нету
Максим,Smith,1950,Новосибирск,Ресторан,57026,Бакалавр,нету
Сергей,Martinez,1965,Екатеринбург,Нет места работы,35500,Среднее,нету
Бакыт,Wang,1970,Казань,ГК Ромашка,46406,Неполное высшее,нету
Liu,Singh,2009,Токтогул,нет места работы,0,Среднее,нету
Emma,Асанов,1996,Баку,ООО Строй,47522,Среднее специальное,нету
Мээрим,Wang,1994,Каракол,Медцентр,37043,Неполное высшее,нету
Азамат,Романов,1958,Новосибирск,Фабрика,31298,Неполное высшее,есть
Юлия,Титов,1940,Санкт-Петербург,Университет,43697,Среднее специальное,нету
Иван,Johnson,1953,Лондон,Фабрика,57381,Бакалавр,нету
Виктор,Гусев,1943,Баку,Global Tech,48131,Неполное высшее,нету
Алиса,Hernandez,1943,Кызыл-Кыя,Ресторан,62088,Бакалавр,нету
Wei,Петров,1959,Пекин,Нет места работы,69464,Магистр,нету
Isabella,Молдокулов,1954,Лондон,Салон Красоты,54380,Бакалавр,нету
Улан,Martinez,1988,Мехико,GreenFarm,62675,Бакалавр,нету
William,Жолдошев,1994,Тбилиси,АО Техно,32810,Среднее,нету
Владимир,Garcia,1998,Париж,MegaCorp,36343,Неполное высшее,нету
Азамат,Султанов,1999,Казань,MegaCorp,49161,Неполное высшее,нету
Михаил,Лебедев,1953,Чолпон-Ата,Банк,52491,Среднее специальное,нету
Wei,Морозов,1970,Алматы,АО Техно,43693,Среднее,нету
James,Сатыбалдиев,1969,Мадрид,АО Техно,31526,Неполное высшее,есть
Ahmed,Михайлов,1988,Токио,АО Техно,49717,Среднее специальное,нету
Андрей,Ершов,1946,Чолпон-Ата,Нет места работы,41452,Среднее,нету
Fatima,Hernandez,1942,Нью-Йорк,ТранспортСервис,42741,Среднее,нету
Станислав,Исаев,2004,Баку,ТранспортСервис,38788,Неполное высшее,нету
William,Беляев,2002,Токтогул,MegaCorp,40789,Бакалавр,есть
Улан,Chen,1946,Новосибирск,Салон Красоты,38409,Среднее специальное,нету
Николай,Taylor,1981,Нарын,Компания А,50786,Среднее специальное,нету
Айбек,Garcia,1965,Алматы,IT Studio,31905,Среднее,нету
Юлия,Абдрахманов,1997,Екатеринбург,АО Техно,83123,Магистр,нету
Алексей,Hernandez,2007,Москва,Ферма,46143,Неполное высшее,нету
Ahmed,Johnson,1970,Берлин,Ферма,47430,Неполное высшее,нету
Айнура,Титов,1967,Новосибирск,Нет места работы,37224,Среднее,нету
Robert,Козлов,1956,Лондон,Нет места работы,68157,Магистр,нету
Эрмек,Smith,1993,Пекин,Университет,43415,Среднее специальное,нету
Sophia,Петров,1974,Мадрид,Нет места работы,41717,Среднее специальное,нету
Эрмек,Новиков,1975,Тбилиси,ИП Сидоров,112816,Доктор,нету
Элина,Соколов,1986,Ереван,MegaCorp,42742,Среднее,нету
James,Киселев,1957,Москва,ГК Ромашка,43219,Неполное высшее,нету
Бакыт,Молдокулов,1945,Астана,Школа №1,57236,Бакалавр,нету
Софья,Нурматов,1941,Тбилиси,ИП Сидоров,73714,Бакалавр,нету
Emma,Соловьев,1955,Кызыл-Кыя,Ферма,69451,Магистр,нету
Виктор,Li,1943,Кант,Ресторан,57858,Бакалавр,нету
Жаныбек,Эргешов,2005,Токтогул,ГК Ромашка,49439,Среднее специальное,нету
Владимир,Gonzalez,1992,Баку,ТранспортСервис,36076,Среднее,нету
